"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","deleteRole_Success()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","DELETE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$DeleteRoleTests","deleteRole_Success"
"","4","testUpdatePayment_EmailFailed_Failed()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testUpdatePayment_EmailFailed_Failed"
"","5","testPlaceOrder_OrderItemsBuildCorrectly()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_OrderItemsBuildCorrectly"
"","9","testPlaceOrder_OrderItemsSavedCorrectly()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_OrderItemsSavedCorrectly"
"","3","addCategory_Success()","","Thu Dec 11 09:10:04 UTC 2025","passed","Thu Dec 11 09:10:04 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.AddCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$AddCategoryTests","addCategory_Success"
"","6","testUpdateOrderStatus_OrderNotFound()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.UpdateOrderStatusTests","com.phegon.FoodApp.unit.OrderServiceImplTest$UpdateOrderStatusTests","testUpdateOrderStatus_OrderNotFound"
"","1","INT019_05_menuIdNull()","","Thu Dec 11 09:10:16 UTC 2025","broken","Thu Dec 11 09:10:16 UTC 2025","","com.phegon.FoodApp.integration.CartIntegrationIT","com.phegon.FoodApp.integration.CartIntegrationIT","INT019_05_menuIdNull"
"","3","testGetAllOrders_WithStatus()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetAllOrdersTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetAllOrdersTests","testGetAllOrders_WithStatus"
"","2","createRole_SaveFails()","","Thu Dec 11 09:10:06 UTC 2025","passed","Thu Dec 11 09:10:06 UTC 2025","","CREATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$CreateRoleTests","createRole_SaveFails"
"","2","testPlaceOrder_CartItemsEmpty()","","Thu Dec 11 09:10:05 UTC 2025","passed","Thu Dec 11 09:10:05 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_CartItemsEmpty"
