"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","testUpdateOwnAccount_UploadFileNull()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_UploadFileNull"
"","3","testUpdateOrderStatus_SaveThrows()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.UpdateOrderStatusTests","com.phegon.FoodApp.unit.OrderServiceImplTest$UpdateOrderStatusTests","testUpdateOrderStatus_SaveThrows"
"","43","testUpdateOwnAccount_NoOldImage()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testUpdateOwnAccount_NoOldImage"
"","2","getMenus_NoFilter()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.MenuServiceImplTest.GetMenusTests","com.phegon.FoodApp.unit.MenuServiceImplTest$GetMenusTests","getMenus_NoFilter"
"","1237","deleteCategory_Success()","","Thu Dec 18 03:54:05 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.DeleteCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$DeleteCategoryTests","deleteCategory_Success"
"","3","testInitializePayment_AmountNull()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_AmountNull"
"","3","testInitializePayment_AmountZero()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.PaymentServiceImplTest","com.phegon.FoodApp.unit.PaymentServiceImplTest","testInitializePayment_AmountZero"
"","3","deleteRole_Success()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","DELETE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$DeleteRoleTests","deleteRole_Success"
"","5","getCategoryById_FieldMappingCorrect()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetCategoryByIdTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetCategoryByIdTests","getCategoryById_FieldMappingCorrect"
"","2","testGetAllUsers()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","com.phegon.FoodApp.unit.UserServiceImplTest","com.phegon.FoodApp.unit.UserServiceImplTest","testGetAllUsers"
"","6","getAllCategories_Success()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.GetAllCategoriesTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$GetAllCategoriesTests","getAllCategories_Success"
"","3","testGetOrderItemById_MenuMappingCorrect()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetOrderItemByIdTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetOrderItemByIdTests","testGetOrderItemById_MenuMappingCorrect"
"","2","createMenu_ImageNull()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","CREATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$CreateMenuTests","createMenu_ImageNull"
"","3","createRole_ModelMapper_ToDTO_Fails()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","CREATE ROLE TESTS","com.phegon.FoodApp.unit.RoleServiceImplTest$CreateRoleTests","createRole_ModelMapper_ToDTO_Fails"
"","5","testLoginSuccess()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.AuthServiceImplTest","com.phegon.FoodApp.unit.AuthServiceImplTest","testLoginSuccess"
"","2","testGetAllOrders_OrderItemsMenuReviewsSetNull()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.GetAllOrdersTests","com.phegon.FoodApp.unit.OrderServiceImplTest$GetAllOrdersTests","testGetAllOrders_OrderItemsMenuReviewsSetNull"
"","4","spec_SearchOnly()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","BUILD SPECIFICATION TESTS (FULL FIX)","com.phegon.FoodApp.unit.MenuServiceImplTest$BuildSpecificationTests","spec_SearchOnly"
"","3","updateMenu_ModelMapperFails()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","UPDATE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$UpdateMenuTests","updateMenu_ModelMapperFails"
"","4","testPlaceOrder_ClearCartThrows()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:08 UTC 2025","","com.phegon.FoodApp.unit.OrderServiceImplTest.PlaceOrderFromCartTests","com.phegon.FoodApp.unit.OrderServiceImplTest$PlaceOrderFromCartTests","testPlaceOrder_ClearCartThrows"
"","5","addCategory_SaveFails()","","Thu Dec 18 03:54:07 UTC 2025","passed","Thu Dec 18 03:54:07 UTC 2025","","com.phegon.FoodApp.unit.CategoryServiceImplTest.AddCategoryTests","com.phegon.FoodApp.unit.CategoryServiceImplTest$AddCategoryTests","addCategory_SaveFails"
"","397","spec_CategoryAndSearch()","","Thu Dec 18 03:54:08 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","BUILD SPECIFICATION TESTS (FULL FIX)","com.phegon.FoodApp.unit.MenuServiceImplTest$BuildSpecificationTests","spec_CategoryAndSearch"
"","2","deleteMenu_DeleteFileFails()","","Thu Dec 18 03:54:09 UTC 2025","passed","Thu Dec 18 03:54:09 UTC 2025","","DELETE MENU TESTS","com.phegon.FoodApp.unit.MenuServiceImplTest$DeleteMenuTests","deleteMenu_DeleteFileFails"
